protocol,candidate_id,model_name,model_type,stage,metric,mean,std,ci95_low,ci95_high
scaffold,svm__ecfp_1024,SVM (RBF),ECFP4 (1024-bit),test,F1,0.7932255870429439,0.0508733056297508,0.7300580349728654,0.8563931391130224
scaffold,svm__ecfp_1024,SVM (RBF),ECFP4 (1024-bit),test,MCC,0.7401524967224464,0.059937522542471,0.6657302328399334,0.8145747606049595
scaffold,xgb__ecfp_2048_rdkit2d_normalized_200,XGBoost,ECFP4 (2048-bit) + RDKit2D (200-d),valid,AUROC,0.8651010946383973,0.0669418734254558,0.7819817804336954,0.9482204088430992
scaffold,xgb__ecfp_2048_rdkit2d_normalized_200,XGBoost,ECFP4 (2048-bit) + RDKit2D (200-d),valid,AUPRC,0.7473454185387911,0.0837535281877353,0.6433516778655358,0.8513391592120464
scaffold,xgb__ecfp_2048_rdkit2d_normalized_200,XGBoost,ECFP4 (2048-bit) + RDKit2D (200-d),valid,Accuracy,0.8575243965074474,0.0360801908822561,0.8127249224406301,0.9023238705742648
scaffold,xgb__ecfp_2048_rdkit2d_normalized_200,XGBoost,ECFP4 (2048-bit) + RDKit2D (200-d),valid,F1,0.6588442051603945,0.0866716531575295,0.5512271337698863,0.7664612765509028
scaffold,xgb__ecfp_2048_rdkit2d_normalized_200,XGBoost,ECFP4 (2048-bit) + RDKit2D (200-d),valid,MCC,0.5829242680809317,0.1023129912065733,0.4558859103511909,0.7099626258106724
scaffold,xgb__ecfp_2048_rdkit2d_normalized_200,XGBoost,ECFP4 (2048-bit) + RDKit2D (200-d),test,AUROC,0.940231884057971,0.0061432866280528,0.9326039862212712,0.9478597818946708
scaffold,xgb__ecfp_2048_rdkit2d_normalized_200,XGBoost,ECFP4 (2048-bit) + RDKit2D (200-d),test,AUPRC,0.8872740911120408,0.0311998082435072,0.8485344124652168,0.9260137697588648
scaffold,xgb__ecfp_2048_rdkit2d_normalized_200,XGBoost,ECFP4 (2048-bit) + RDKit2D (200-d),test,Accuracy,0.9224489795918368,0.0154752560082684,0.9032339113433832,0.9416640478402905
scaffold,xgb__ecfp_2048_rdkit2d_normalized_200,XGBoost,ECFP4 (2048-bit) + RDKit2D (200-d),test,F1,0.832777544174399,0.036995394200328,0.7868416950964953,0.8787133932523027
