zinc_id,smiles
ZINC000591149316,COC1CCN(CCNc2ncc([N+](=O)[O-])cc2F)CC1
ZINC000596079049,C[C@@H]1CCCN([C@H](C)CNc2ccc(N)c([N+](=O)[O-])n2)C1
ZINC000596079050,C[C@@H]1CCCN([C@@H](C)CNc2ccc(N)c([N+](=O)[O-])n2)C1
ZINC000596079052,C[C@H]1CCCN([C@H](C)CNc2ccc(N)c([N+](=O)[O-])n2)C1
ZINC000596126826,CC[C@@H]1CCCCN1CCNc1ccc(N)c([N+](=O)[O-])n1
ZINC000596126827,CC[C@H]1CCCCN1CCNc1ccc(N)c([N+](=O)[O-])n1
ZINC000596213111,CC1(C)CCCN(CCNc2ccc(N)c([N+](=O)[O-])n2)C1
ZINC000596295837,CN(CCN1CCCCC1)c1ccc(N)c([N+](=O)[O-])n1
ZINC000596486853,CC1CCN(C[C@@H](C)Nc2ccc(N)c([N+](=O)[O-])n2)CC1
ZINC000596486855,CC1CCN(C[C@H](C)Nc2ccc(N)c([N+](=O)[O-])n2)CC1
ZINC000593516161,CN(CCN1CCCCC1)c1ccc([N+](=O)[O-])cn1
ZINC000593516531,CN(CCN1CCCCC1)c1ncccc1[N+](=O)[O-]
ZINC000596079051,C[C@H]1CCCN([C@@H](C)CNc2ccc(N)c([N+](=O)[O-])n2)C1
ZINC000443970120,CC1(C)CCCN(CCNc2ccc([N+](=O)[O-])cn2)C1
ZINC000301512843,CN(C)C1CCN(CCNc2ncccc2[N+](=O)[O-])CC1
ZINC000301677174,COC1CCN(CCNc2ccc([N+](=O)[O-])c(C)n2)CC1
ZINC000162391209,O=C(O)c1cnc(NCCN2CCCCC2)c([N+](=O)[O-])c1
ZINC000042295467,O=[N+]([O-])c1ccc(NCCN2CCCCC2)nc1
ZINC000042295482,O=[N+]([O-])c1cccnc1NCCN1CCCCC1
ZINC000267220688,CN(C)C1CCN(CCNc2ccc([N+](=O)[O-])cn2)CC1
ZINC000288835923,O=[N+]([O-])c1ccc(N[C@@H](CO)CN2CCCCC2)nc1
ZINC000288835925,O=[N+]([O-])c1ccc(N[C@H](CO)CN2CCCCC2)nc1
ZINC000288845191,O=[N+]([O-])c1cccnc1N[C@@H](CO)CN1CCCCC1
ZINC000288845193,O=[N+]([O-])c1cccnc1N[C@H](CO)CN1CCCCC1
ZINC000289172595,Cc1nc(N[C@@H](CO)CN2CCCCC2)ccc1[N+](=O)[O-]
ZINC000289172596,Cc1nc(N[C@H](CO)CN2CCCCC2)ccc1[N+](=O)[O-]
ZINC000289174323,Cc1cc(N[C@@H](CO)CN2CCCCC2)ncc1[N+](=O)[O-]
ZINC000289174326,Cc1cc(N[C@H](CO)CN2CCCCC2)ncc1[N+](=O)[O-]
ZINC000295732022,Cc1cnc(N[C@@H](CO)CN2CCCCC2)c([N+](=O)[O-])c1
ZINC000295732023,Cc1cnc(N[C@H](CO)CN2CCCCC2)c([N+](=O)[O-])c1
ZINC000570180859,O=[N+]([O-])c1cnc(N[C@H](CO)CN2CCCCC2)c(F)c1
ZINC001120883899,Nc1cc(NCCN2CCCCC2)ncc1[N+](=O)[O-]
ZINC001161867467,NC1CCN(CCNc2cc(Cl)cc([N+](=O)[O-])n2)CC1
ZINC001161867632,NC1CCN(CCNc2cc([N+](=O)[O-])cc(Cl)n2)CC1
ZINC001161867689,NC1CCN(CCNc2nccc(Cl)c2[N+](=O)[O-])CC1
ZINC001161867832,Cc1cc(C)c([N+](=O)[O-])c(NCCN2CCC(N)CC2)n1
